Model,Score,AUC
NetTCR-1.0,0,0.5776
NetTCR-1.0,0,0.5792
NetTCR-1.0,0,0.5905
NetTCR-1.0,0,0.5772
NetTCR-1.0,0,0.5767
NetTCR-1.0,1,0.5729
NetTCR-1.0,1,0.5478
NetTCR-1.0,1,0.5908
NetTCR-1.0,1,0.5767
NetTCR-1.0,1,0.5785
NetTCR-1.0,2,0.5874
NetTCR-1.0,2,0.5823
NetTCR-1.0,2,0.5912
NetTCR-1.0,2,0.6592
NetTCR-1.0,2,0.6527
NetTCR-2.0,0,0.5754
NetTCR-2.0,0,0.5484
NetTCR-2.0,0,0.5834
NetTCR-2.0,0,0.5593
NetTCR-2.0,0,0.5709
NetTCR-2.0,1,0.5786
NetTCR-2.0,1,0.5517
NetTCR-2.0,1,0.6268
NetTCR-2.0,1,0.5947
NetTCR-2.0,1,0.6020
NetTCR-2.0,2,0.6071
NetTCR-2.0,2,0.6897
NetTCR-2.0,2,0.6732
NetTCR-2.0,2,0.6220
NetTCR-2.0,2,0.6910
ERGO_LSTM,0,0.5441
ERGO_LSTM,0,0.5945
ERGO_LSTM,0,0.5746
ERGO_LSTM,0,0.5339
ERGO_LSTM,0,0.6005
ERGO_LSTM,1,0.5637
ERGO_LSTM,1,0.5821
ERGO_LSTM,1,0.5689
ERGO_LSTM,1,0.5558
ERGO_LSTM,1,0.5775
ERGO_LSTM,2,0.6624
ERGO_LSTM,2,0.6398
ERGO_LSTM,2,0.5948
ERGO_LSTM,2,0.5623
ERGO_LSTM,2,0.6836
ERGO_AE,0,0.6399
ERGO_AE,0,0.6173
ERGO_AE,0,0.6337
ERGO_AE,0,0.6346
ERGO_AE,0,0.6382
ERGO_AE,1,0.6086
ERGO_AE,1,0.5720
ERGO_AE,1,0.6247
ERGO_AE,1,0.6332
ERGO_AE,1,0.5903
ERGO_AE,2,0.6166
ERGO_AE,2,0.6226
ERGO_AE,2,0.6095
ERGO_AE,2,0.5627
ERGO_AE,2,0.6184
DLpTCR,0,0.6335
DLpTCR,0,0.6236
DLpTCR,0,0.6297
DLpTCR,0,0.6052
DLpTCR,0,0.6263
DLpTCR,1,0.6121
DLpTCR,1,0.6075
DLpTCR,1,0.6434
DLpTCR,1,0.5796
DLpTCR,1,0.6124
DLpTCR,2,0.6649
DLpTCR,2,0.6939
DLpTCR,2,0.6768
DLpTCR,2,0.6414
DLpTCR,2,0.6853
HeteroTCR,0,0.6720
HeteroTCR,0,0.6626
HeteroTCR,0,0.6693
HeteroTCR,0,0.6618
HeteroTCR,0,0.6634
HeteroTCR,1,0.6588
HeteroTCR,1,0.6825
HeteroTCR,1,0.6776
HeteroTCR,1,0.6762
HeteroTCR,1,0.6611
HeteroTCR,2,0.6923
HeteroTCR,2,0.7209
HeteroTCR,2,0.7127
HeteroTCR,2,0.6740
HeteroTCR,2,0.7196
