Model,based,AUC
NetTCR-1.0,Pair-based,0.5324
NetTCR-1.0,Pair-based,0.5499
NetTCR-1.0,Pair-based,0.5267
NetTCR-1.0,Pair-based,0.5446
NetTCR-1.0,Pair-based,0.5306
NetTCR-1.0,TCR-based,0.5251
NetTCR-1.0,TCR-based,0.5736
NetTCR-1.0,TCR-based,0.5453
NetTCR-1.0,TCR-based,0.5393
NetTCR-1.0,TCR-based,0.5349
NetTCR-1.0,Antigen-based,0.5684
NetTCR-1.0,Antigen-based,0.5601
NetTCR-1.0,Antigen-based,0.4394
NetTCR-1.0,Antigen-based,0.5370
NetTCR-1.0,Antigen-based,0.4785
NetTCR-1.0,Strict-based,0.4580
NetTCR-1.0,Strict-based,0.4359
NetTCR-1.0,Strict-based,0.4772
NetTCR-1.0,Strict-based,0.4647
NetTCR-1.0,Strict-based,0.4919
NetTCR-2.0,Pair-based,0.5533
NetTCR-2.0,Pair-based,0.5440
NetTCR-2.0,Pair-based,0.5514
NetTCR-2.0,Pair-based,0.5722
NetTCR-2.0,Pair-based,0.5520
NetTCR-2.0,TCR-based,0.5559
NetTCR-2.0,TCR-based,0.5552
NetTCR-2.0,TCR-based,0.5581
NetTCR-2.0,TCR-based,0.6149
NetTCR-2.0,TCR-based,0.6459
NetTCR-2.0,Antigen-based,0.4844
NetTCR-2.0,Antigen-based,0.5109
NetTCR-2.0,Antigen-based,0.5498
NetTCR-2.0,Antigen-based,0.5075
NetTCR-2.0,Antigen-based,0.5179
NetTCR-2.0,Strict-based,0.5478
NetTCR-2.0,Strict-based,0.4506
NetTCR-2.0,Strict-based,0.4544
NetTCR-2.0,Strict-based,0.5249
NetTCR-2.0,Strict-based,0.5219
ERGO_LSTM,Pair-based,0.5641
ERGO_LSTM,Pair-based,0.5829
ERGO_LSTM,Pair-based,0.5597
ERGO_LSTM,Pair-based,0.5334
ERGO_LSTM,Pair-based,0.5099
ERGO_LSTM,TCR-based,0.5129
ERGO_LSTM,TCR-based,0.5865
ERGO_LSTM,TCR-based,0.5172
ERGO_LSTM,TCR-based,0.5402
ERGO_LSTM,TCR-based,0.4750
ERGO_LSTM,Antigen-based,0.4997
ERGO_LSTM,Antigen-based,0.4839
ERGO_LSTM,Antigen-based,0.5026
ERGO_LSTM,Antigen-based,0.4958
ERGO_LSTM,Antigen-based,0.4931
ERGO_LSTM,Strict-based,0.4583
ERGO_LSTM,Strict-based,0.5155
ERGO_LSTM,Strict-based,0.4972
ERGO_LSTM,Strict-based,0.5081
ERGO_LSTM,Strict-based,0.4559
ERGO_AE,Pair-based,0.5155
ERGO_AE,Pair-based,0.5349
ERGO_AE,Pair-based,0.5902
ERGO_AE,Pair-based,0.5649
ERGO_AE,Pair-based,0.5568
ERGO_AE,TCR-based,0.5668
ERGO_AE,TCR-based,0.5206
ERGO_AE,TCR-based,0.4642
ERGO_AE,TCR-based,0.5758
ERGO_AE,TCR-based,0.6002
ERGO_AE,Antigen-based,0.5724
ERGO_AE,Antigen-based,0.5525
ERGO_AE,Antigen-based,0.5145
ERGO_AE,Antigen-based,0.5055
ERGO_AE,Antigen-based,0.5802
ERGO_AE,Strict-based,0.4767
ERGO_AE,Strict-based,0.4242
ERGO_AE,Strict-based,0.4774
ERGO_AE,Strict-based,0.3664
ERGO_AE,Strict-based,0.4429
DLpTCR,Pair-based,0.5774
DLpTCR,Pair-based,0.6046
DLpTCR,Pair-based,0.6025
DLpTCR,Pair-based,0.5906
DLpTCR,Pair-based,0.6301
DLpTCR,TCR-based,0.5958
DLpTCR,TCR-based,0.5836
DLpTCR,TCR-based,0.6016
DLpTCR,TCR-based,0.5706
DLpTCR,TCR-based,0.5859
DLpTCR,Antigen-based,0.5799
DLpTCR,Antigen-based,0.5648
DLpTCR,Antigen-based,0.5599
DLpTCR,Antigen-based,0.5979
DLpTCR,Antigen-based,0.5658
DLpTCR,Strict-based,0.4933
DLpTCR,Strict-based,0.4209
DLpTCR,Strict-based,0.4636
DLpTCR,Strict-based,0.4446
DLpTCR,Strict-based,0.3972
HeteroTCR,Pair-based,0.6714
HeteroTCR,Pair-based,0.6648
HeteroTCR,Pair-based,0.6720
HeteroTCR,Pair-based,0.6719
HeteroTCR,Pair-based,0.6800
HeteroTCR,TCR-based,0.7079
HeteroTCR,TCR-based,0.7066
HeteroTCR,TCR-based,0.6946
HeteroTCR,TCR-based,0.7110
HeteroTCR,TCR-based,0.6996
HeteroTCR,Antigen-based,0.6912
HeteroTCR,Antigen-based,0.6792
HeteroTCR,Antigen-based,0.6974
HeteroTCR,Antigen-based,0.6987
HeteroTCR,Antigen-based,0.6829
HeteroTCR,Strict-based,0.6536
HeteroTCR,Strict-based,0.5989
HeteroTCR,Strict-based,0.6232
HeteroTCR,Strict-based,0.6137
HeteroTCR,Strict-based,0.5777
