Model,based,AUC
NetTCR-1.0,Pair-based,0.4844
NetTCR-1.0,Pair-based,0.5723
NetTCR-1.0,Pair-based,0.4785
NetTCR-1.0,Pair-based,0.4688
NetTCR-1.0,Pair-based,0.4609
NetTCR-1.0,TCR-based,0.5000
NetTCR-1.0,TCR-based,0.5556
NetTCR-1.0,TCR-based,0.6667
NetTCR-1.0,TCR-based,0.5000
NetTCR-1.0,TCR-based,0.4444
NetTCR-1.0,Antigen-based,0.4375
NetTCR-1.0,Antigen-based,0.5000
NetTCR-1.0,Antigen-based,0.2812
NetTCR-1.0,Antigen-based,0.5938
NetTCR-1.0,Antigen-based,0.3125
NetTCR-2.0,Pair-based,0.5059
NetTCR-2.0,Pair-based,0.4629
NetTCR-2.0,Pair-based,0.5449
NetTCR-2.0,Pair-based,0.5039
NetTCR-2.0,Pair-based,0.4531
NetTCR-2.0,TCR-based,0.6111
NetTCR-2.0,TCR-based,0.6111
NetTCR-2.0,TCR-based,0.5000
NetTCR-2.0,TCR-based,0.7778
NetTCR-2.0,TCR-based,0.8889
NetTCR-2.0,Antigen-based,0.5000
NetTCR-2.0,Antigen-based,0.3125
NetTCR-2.0,Antigen-based,0.5000
NetTCR-2.0,Antigen-based,0.3750
NetTCR-2.0,Antigen-based,0.3125
ERGO_LSTM,Pair-based,0.4141
ERGO_LSTM,Pair-based,0.5625
ERGO_LSTM,Pair-based,0.5195
ERGO_LSTM,Pair-based,0.4258
ERGO_LSTM,Pair-based,0.4492
ERGO_LSTM,TCR-based,0.2222
ERGO_LSTM,TCR-based,0.4444
ERGO_LSTM,TCR-based,0.2222
ERGO_LSTM,TCR-based,0.4444
ERGO_LSTM,TCR-based,0.3333
ERGO_LSTM,Antigen-based,0.4375
ERGO_LSTM,Antigen-based,0.5625
ERGO_LSTM,Antigen-based,0.4375
ERGO_LSTM,Antigen-based,0.3750
ERGO_LSTM,Antigen-based,0.4375
ERGO_AE,Pair-based,0.5273
ERGO_AE,Pair-based,0.4609
ERGO_AE,Pair-based,0.6523
ERGO_AE,Pair-based,0.5117
ERGO_AE,Pair-based,0.4883
ERGO_AE,TCR-based,0.5000
ERGO_AE,TCR-based,0.3333
ERGO_AE,TCR-based,0.4444
ERGO_AE,TCR-based,0.5556
ERGO_AE,TCR-based,0.3333
ERGO_AE,Antigen-based,0.3125
ERGO_AE,Antigen-based,0.3750
ERGO_AE,Antigen-based,0.5625
ERGO_AE,Antigen-based,0.3750
ERGO_AE,Antigen-based,0.5000
DLpTCR,Pair-based,0.6367
DLpTCR,Pair-based,0.7617
DLpTCR,Pair-based,0.6914
DLpTCR,Pair-based,0.8242
DLpTCR,Pair-based,0.7539
DLpTCR,TCR-based,0.8889
DLpTCR,TCR-based,0.4444
DLpTCR,TCR-based,0.5556
DLpTCR,TCR-based,1.0000
DLpTCR,TCR-based,1.0000
DLpTCR,Antigen-based,0.6875
DLpTCR,Antigen-based,0.8125
DLpTCR,Antigen-based,0.7500
DLpTCR,Antigen-based,0.5625
DLpTCR,Antigen-based,0.7500
HeteroTCR,Pair-based,0.6953
HeteroTCR,Pair-based,0.6758
HeteroTCR,Pair-based,0.6719
HeteroTCR,Pair-based,0.6328
HeteroTCR,Pair-based,0.6484
HeteroTCR,TCR-based,0.6667
HeteroTCR,TCR-based,0.6667
HeteroTCR,TCR-based,0.5556
HeteroTCR,TCR-based,0.6667
HeteroTCR,TCR-based,0.7778
HeteroTCR,Antigen-based,0.6875
HeteroTCR,Antigen-based,0.6250
HeteroTCR,Antigen-based,0.4375
HeteroTCR,Antigen-based,0.5625
HeteroTCR,Antigen-based,0.4375
